id,callsign,flightNumber,originIcao,destinationIcao,alternateIcao,atcRoute,aircraftTitle,aircraftDirectory,aircraftRegistration,aircraftIcao,aircraftCategory,distance_travelled_km,state,offBlocksTime,onBlocksTime,realBlockTime,effectiveBlockTime,realFlightTime,effectiveFlightTime,fuelBurn,plannedBlockTime,plannedFlightTime,plannedPax,plannedCargo,plannedAltitude,createdAt,dateTimeParseDate,dateTimeParseTime,dateDayOfWeek,dateTimeParseFull,countryOrigin,muniOrigin,countryDestination,muniDestination,DOWactivity,originIata,destinationIata
5dc29962-5122-434b-abc3-d16598d4d959,ANA4039,NH4039,RJCC,RJFU,RJFF,HWE6 HWE DCT ARIKA Y14 DGC Y204 OHGIE FUBUKI,Airbus A330-900neo All Nippon Cargo,Headwind_A330neo,JA339F,A339,Heavy,0.86018365,Completed,2022-05-08T04:45:08.108,2022-05-08T04:47:51.107,162.999,162.999,162.999,162.999,64.2151151,9900,8327,0,37600,37000,2022-05-08T04:40:40.94038,08/05/2022,15:40:40,Sun,08/05/2022 15:40:40,JP,Sapporo,JP,Nagasaki,F,CTS,NGS
a05b7010-b2e7-4b8f-bff8-b6742725301a,GIA875,GA875,RJTT,WIII,WIHH,DCT XAC V18 MOE A590 JOM M767 TOKON M646 VJN P648 AMBOY AMBO2F,Boeing 777-300ER Garuda Retro,CS_B777-300ER_GE115B,PK-GIK,B773,Heavy,5866.41395,Completed,2022-08-08T21:15:03.249,2022-08-09T02:10:49.249,17746,17746,17085.998,17085.998,49634.5007,26700,23270,0,70100,35000,2022-08-08T21:12:53.656809,09/08/2022,08:12:53,Tue,09/08/2022 08:12:53,JP,Tokyo,ID,Jakarta,U,HND,CGK
13df8c84-dc98-4220-917f-dfa2cef15650,ANA140,NH140,RJKA,ROAH,RODN,YUWAN2 YUWAN B597 ONC A582 NHC DCT,Airbus A321Neo All Nippon Airways,aircrafta321neopw,JAI3IA,A21N,Medium,380.380715,Completed,2023-02-14T05:10:34.159,2023-02-14T05:56:40.158,2744.00089,2744.00089,2275.00289,2275.00289,1496.67858,4200,3063,198,7713,27000,2023-02-14T05:07:52.480648,14/02/2023,16:07:52,Tue,14/02/2023 16:07:52,JP,Amami,JP,Naha,H,ASJ,OKA
680d2457-85db-42ac-9f04-3ebb28899cfd,ELANG17,,WARR,WIHH,WIII,BIRUN UKLIN ERATA FUSAL LASEM CUCUT MADIN KIDET IMU KOMIT,F-35C Lightning II Indonesian Air-Force (TNI-AL),IndiaFoxtEcho_F35C,TL-3517,F35C,MilJet,792.269312,Completed,2022-10-20T03:20:31.242,2022-10-20T04:22:53.241,3741.999,3741.999,3401,3401,3245.95877,None,None,None,None,None,2022-10-20T03:13:19.76803,20/10/2022,14:13:19,Thu,20/10/2022 14:13:19,ID,Surabaya,ID,Jakarta,H,SUB,HLP
7bcf1bb1-ab5e-4751-8e3f-d3610f47eaa6,AFR782,AF782,LGAV,LFMN,LFML,KOR1F KOR L53 IXONI UL53 OLGAT DCT VIE DCT LOMED DCT BALUK DCT RUXOL DCT BEROK DCT MIVKI T648 GOLAS M859 LAGEN Q712 ENOBA Z185 BORDI BORD7R,Airbus A321neo Air France 2021,A321neoLEAP,F-GTAF,A21N,Medium,1858.60539,Completed,2023-02-20T05:23:53.294,2023-02-20T07:59:37.284,9343.99,9343.99,8729.999,8729.999,4741.0399,10200,9308,191,4975,35000,2023-02-20T05:20:34.436652,20/02/2023,16:20:34,Mon,20/02/2023 16:20:34,GR,Athens,FR,Nice,H,ATH,NCE
184e45a0-fae0-4b4c-9b1a-04df32d1e23d,FDX7281,FX7281,NZAA,YSSY,YSCB,AKEL1Q PEBLU N759 SASRO M636 PLUGA DCT RIKNI N774 MARLN MARLN5,Boeing B777-200F FedEx Ananyaa,CS_B777F_GE110B1,N884FD,B77F,Heavy,2294.83644,Completed,2022-11-08T19:44:20.032,2022-11-08T22:40:25.032,10565,10565,10090,10090,16840.4043,12600,10847,0,50000,37000,2022-11-08T19:39:32.854388,09/11/2022,06:39:32,Wed,09/11/2022 06:39:32,NZ,Auckland,AU,Sydney,H,AKL,SYD
132c6c06-e61a-4e99-91fd-1ae372260ae9,TGW281,TR281,WADD,WSSS,WMKD,OKAN1B OKANG DCT UDONO M635 SURGA SURG1A,Airbus A321neo Scoot 9V-NCA - PW,aircrafta321neopw,9V-NCA,A21N,Medium,1888.56719,Completed,2023-02-11T07:38:31.827,2023-02-11T09:35:11.828,6959.00132,6959.00132,6445.00132,6445.00132,4734.90464,10500,8609,198,7713,38000,2023-02-11T07:35:47.599405,11/02/2023,18:35:47,Sat,11/02/2023 18:35:47,ID,Denpasar,SG,Singapore,H,DPS,SIN
96624262-b9db-45cb-909b-f25da886ecc6,SAM30,SAM30,MMUN,KLSV,KONT,ENEB2A ENEBA DCT MUXOG UA766 SUVUM DCT SEAGL DCT LEMIG DCT FST Q37 CAVRN DCT TCS J108 INW J86 BAVPE J72 BLD DCT,,,30000,B748,Heavy,3258.1848,Completed,2022-07-30T21:29:07.784,2022-07-31T01:10:43.785,13296.001,13296.001,12835,12835,37359.5568,16800,13686,0,74700,36000,2022-07-30T21:25:27.355435,31/07/2022,08:25:27,Sun,31/07/2022 08:25:27,MX,Ciudad de Cancún,US,Las Vegas,F,CUN,LSV
74899da2-6bec-49ad-9b59-baa78166509a,SIA935,SQ935,WADD,WSSS,WMKK,DCT UDONO M635 SURGA SURG1B,Boeing 787-10 Singapore Airlines,Asobo_B787_10,9V-SCC,B78X,Heavy,1730.38836,Completed,2022-11-04T00:29:44.811,2022-11-04T02:39:44.809,7799.998,7799.998,7408.991,7408.991,13667.2125,9900,7868,0,40000,39000,2022-11-04T00:27:17.964359,04/11/2022,11:27:17,Fri,04/11/2022 11:27:17,ID,Denpasar,SG,Singapore,H,DPS,SIN
53a1dd0a-e156-4d1e-9381-101afade3f3b,ASY631,None,YMHB,YMML,YSSY,LATUM2 LATUM H111 LT H215 WAREN WARE7A,PMDG 737-700BBJ RAAF [A36-001 - Flag],PMDG 737-700BBJ,A36-001,B737,Medium,658.072297,Completed,2023-04-26T21:21:04.032,2023-04-26T22:33:04.033,4320.001,4320.001,3732.999,3732.999,2701.61643,5700,4027,32,1998,38000,2023-04-26T21:15:22.286282,27/04/2023,08:15:22,Thu,27/04/2023 08:15:22,AU,Hobart,AU,Melbourne,W,HBA,MEL
